scope	path	offset	length	file_size	mtime
VKMT	wine/build-ec/dlls/xaudio2_9/aarch64-windows/xaudio2_9.dll	0	262144	3145728	1785109556
VKMT	wine/build-ec/dlls/crypt32/aarch64-windows/crypt32.dll	1245184	245760	6356992	1785109442
VKMT	wine/build-ec/dlls/crypt32/aarch64-windows/crypt32.dll	0	212992	6356992	1785109442
VKMT	wine/build-ec/dlls/combase/aarch64-windows/combase.dll	0	196608	3473408	1785109439
VKMT	wine/build-ec/dlls/kernel32/aarch64-windows/kernel32.dll	0	196608	3604480	1785319729
VKMT	wine/build-ec/dlls/mfreadwrite/aarch64-windows/mfreadwrite.dll	0	196608	2293760	1785109485
VKMT	wine/build-ec/dlls/mfreadwrite/aarch64-windows/mfreadwrite.dll	65536	196608	2293760	1785109485
VKMT	wine/build-ec/dlls/mpr/aarch64-windows/mpr.dll	65536	196608	1310720	1785109487
VKMT	wine/build-ec/dlls/propsys/aarch64-windows/propsys.dll	0	196608	1966080	1785109513
VKMT	wine/build-ec/dlls/propsys/aarch64-windows/propsys.dll	65536	196608	1966080	1785109513
VKMT	wine/build-ec/dlls/sechost/aarch64-windows/sechost.dll	65536	196608	1507328	1785426043
VKMT	wine/build-ec/dlls/shcore/aarch64-windows/shcore.dll	65536	196608	1179648	1785109521
VKMT	wine/build-ec/dlls/win32u/aarch64-windows/win32u.dll	0	196608	1703936	1785449856
VKMT	wine/build-ec/dlls/winhttp/aarch64-windows/winhttp.dll	0	196608	3080192	1785478917
VKMT	wine/build-ec/dlls/wininet/aarch64-windows/wininet.dll	0	196608	3801088	1785109544
VKMT	wine/wine-11.12/nls/c_10003.nls	0	177698	177698	1785107532
VKMT	wine/wine-11.12/nls/c_10008.nls	0	173602	173602	1785107532
VKMT	wine/build-ec/dlls/ntdll/ntdll.so	524288	154856	679144	1785584694
VKMT	wine/build-ec/dlls/advapi32/aarch64-windows/advapi32.dll	0	147456	2686976	1785109434
VKMT	wine/build-ec/dlls/comctl32/aarch64-windows/comctl32.dll	0	147456	7274496	1785109439
VKMT	wine/build-ec/dlls/comctl32/aarch64-windows/comctl32.dll	65536	131072	7274496	1785109439
VKMT	wine/build-ec/dlls/jsproxy/aarch64-windows/jsproxy.dll	0	131072	1507328	1785109480
VKMT	wine/build-ec/dlls/jsproxy/aarch64-windows/jsproxy.dll	65536	131072	1507328	1785109480
VKMT	wine/build-ec/dlls/ncrypt/aarch64-windows/ncrypt.dll	65536	131072	983040	1785109504
VKMT	wine/build-ec/dlls/rtworkq/aarch64-windows/rtworkq.dll	65536	131072	1048576	1785109518
VKMT	wine/build-ec/dlls/sechost/aarch64-windows/sechost.dll	0	131072	1507328	1785426043
VKMT	wine/build-ec/dlls/ws2_32/aarch64-windows/ws2_32.dll	0	131072	1900544	1785471231
VKMT	wine/build-ec/dlls/apisetschema/aarch64-windows/apisetschema.dll	0	98304	196608	1785108404
VKMT	wine/build-ec/dlls/bcrypt/aarch64-windows/bcrypt.dll	0	98304	3997696	1785109436
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/winemetal.so	0	98304	27386960	1785514565
VKMT	wine/build-ec/dlls/coml2/aarch64-windows/coml2.dll	65536	81920	1441792	1785109440
VKMT	wine/build-ec/dlls/crypt32/libp11-kit.0.dylib	0	81920	1598752	1785395039
VKMT	wine/build-ec/dlls/cryptbase/aarch64-windows/cryptbase.dll	65536	81920	983040	1785109442
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/winemac.so	0	81920	640584	1785119215
VKMT	wine/wine-11.12/nls/c_10000.nls	0	66082	66082	1785107532
VKMT	wine/wine-11.12/nls/c_10005.nls	0	66082	66082	1785107532
VKMT	wine/wine-11.12/nls/c_1252.nls	0	66082	66082	1785107532
VKMT	wine/wine-11.12/nls/c_20127.nls	0	66082	66082	1785107532
VKMT	wine/wine-11.12/nls/c_437.nls	0	66594	66594	1785107532
VKMT	wine/build-ec/dlls/crypt32/aarch64-windows/crypt32.dll	0	65536	6356992	1785109442
VKMT	wine/build-ec/dlls/crypt32/libgnutls.30.dylib	0	65536	2324784	1785395039
VKMT	wine/build-ec/dlls/crypt32/libgnutls.30.dylib	1785856	65536	2324784	1785395039
VKMT	wine/build-ec/dlls/crypt32/libp11-kit.0.dylib	0	65536	1598752	1785395039
VKMT	wine/build-ec/dlls/d3d12/aarch64-windows/d3d12.dll	65536	65536	1835008	1785109445
VKMT	wine/build-ec/dlls/gdi32/aarch64-windows/gdi32.dll	0	65536	4980736	1785109471
VKMT	wine/build-ec/dlls/imm32/aarch64-windows/imm32.dll	0	65536	1638400	1785109476
VKMT	wine/build-ec/dlls/jsproxy/aarch64-windows/jsproxy.dll	0	65536	1507328	1785109480
VKMT	wine/build-ec/dlls/kernel32/aarch64-windows/kernel32.dll	0	65536	3604480	1785319729
VKMT	wine/build-ec/dlls/kernelbase/aarch64-windows/kernelbase.dll	0	65536	9502720	1785515148
VKMT	wine/build-ec/dlls/mfplat/aarch64-windows/mfplat.dll	0	65536	4456448	1785109484
VKMT	wine/build-ec/dlls/mfreadwrite/aarch64-windows/mfreadwrite.dll	0	65536	2293760	1785109485
VKMT	wine/build-ec/dlls/mpr/aarch64-windows/mpr.dll	0	65536	1310720	1785109487
VKMT	wine/build-ec/dlls/msvcrt/aarch64-windows/msvcrt.dll	0	65536	6291456	1785449315
VKMT	wine/build-ec/dlls/ncrypt/aarch64-windows/ncrypt.dll	0	65536	983040	1785109504
VKMT	wine/build-ec/dlls/ntdll/aarch64-windows/ntdll.dll	0	65536	7340032	1785590993
VKMT	wine/build-ec/dlls/ntdll/aarch64-windows/ntdll.dll	1048576	65536	7340032	1785590993
VKMT	wine/build-ec/dlls/ole32/aarch64-windows/ole32.dll	0	65536	7012352	1785109510
VKMT	wine/build-ec/dlls/oleaut32/aarch64-windows/oleaut32.dll	0	65536	6094848	1785109510
VKMT	wine/build-ec/dlls/opengl32/aarch64-windows/opengl32.dll	0	65536	11468800	1785263189
VKMT	wine/build-ec/dlls/opengl32/opengl32.so	0	65536	2042184	1785274760
VKMT	wine/build-ec/dlls/propsys/aarch64-windows/propsys.dll	0	65536	1966080	1785109513
VKMT	wine/build-ec/dlls/rpcrt4/aarch64-windows/rpcrt4.dll	0	65536	5177344	1785426507
VKMT	wine/build-ec/dlls/rtworkq/aarch64-windows/rtworkq.dll	0	65536	1048576	1785109518
VKMT	wine/build-ec/dlls/sechost/aarch64-windows/sechost.dll	0	65536	1507328	1785426043
VKMT	wine/build-ec/dlls/shcore/aarch64-windows/shcore.dll	0	65536	1179648	1785109521
VKMT	wine/build-ec/dlls/shell32/aarch64-windows/shell32.dll	0	65536	17891328	1785109610
VKMT	wine/build-ec/dlls/shlwapi/aarch64-windows/shlwapi.dll	0	65536	2686976	1785109521
VKMT	wine/build-ec/dlls/ucrtbase/aarch64-windows/ucrtbase.dll	0	65536	7471104	1785109527
VKMT	wine/build-ec/dlls/user32/aarch64-windows/user32.dll	0	65536	10027008	1785109528
VKMT	wine/build-ec/dlls/uxtheme/aarch64-windows/uxtheme.dll	0	65536	2031616	1785109529
VKMT	wine/build-ec/dlls/win32u/aarch64-windows/win32u.dll	0	65536	1703936	1785449856
VKMT	wine/build-ec/dlls/win32u/aarch64-windows/win32u.dll	327680	65536	1703936	1785449856
VKMT	wine/build-ec/dlls/win32u/win32u.so	0	65536	2512904	1785584862
VKMT	wine/build-ec/dlls/wined3d/aarch64-windows/wined3d.dll	0	65536	51052544	1785109542
VKMT	wine/build-ec/dlls/winhttp/aarch64-windows/winhttp.dll	0	65536	3080192	1785478917
VKMT	wine/build-ec/dlls/wininet/aarch64-windows/wininet.dll	0	65536	3801088	1785109544
VKMT	wine/build-ec/dlls/ws2_32/aarch64-windows/ws2_32.dll	0	65536	1900544	1785471231
VKMT	wine/build-ec/dlls/xaudio2_9/aarch64-windows/xaudio2_9.dll	0	65536	3145728	1785109556
VKMT	wine/build-ec/programs/start/aarch64-windows/start.exe	0	65536	1048576	1785109565
VKMT	wine/build-ec/programs/start/aarch64-windows/start.exe	65536	65536	1048576	1785109565
VKMT	wine/build-ec/programs/start/aarch64-windows/start.exe	196608	65536	1048576	1785109565
VKMT	wine/wine-11.12/nls/normnfc.nls	0	60194	60194	1785107532
VKMT	wine/build-ec/dlls/advapi32/aarch64-windows/advapi32.dll	720896	49152	2686976	1785109434
VKMT	wine/build-ec/dlls/bcrypt/aarch64-windows/bcrypt.dll	851968	49152	3997696	1785109436
VKMT	wine/build-ec/dlls/comctl32/aarch64-windows/comctl32.dll	1638400	49152	7274496	1785109439
VKMT	wine/build-ec/dlls/coml2/aarch64-windows/coml2.dll	0	49152	1441792	1785109440
VKMT	wine/build-ec/dlls/crypt32/libnettle.9.dylib	0	49152	314624	1785395039
VKMT	wine/build-ec/dlls/crypt32/libtasn1.6.dylib	0	49152	89728	1785395039
VKMT	wine/build-ec/dlls/d3d12/aarch64-windows/d3d12.dll	0	49152	1835008	1785109445
VKMT	wine/build-ec/dlls/opengl32/opengl32.so	1294336	49152	2042184	1785274760
VKMT	wine/build-ec/dlls/win32u/win32u.so	0	49152	2512904	1785584862
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/winemac.so	425984	49152	640584	1785119215
VKMT	wine/build-ec/programs/start/aarch64-windows/start.exe	147456	49152	1048576	1785109565
VKMT	wine/build-ec/dlls/combase/aarch64-windows/combase.dll	851968	32768	3473408	1785109439
VKMT	wine/build-ec/dlls/coml2/aarch64-windows/coml2.dll	393216	32768	1441792	1785109440
VKMT	wine/build-ec/dlls/crypt32/libintl.8.dylib	0	32768	210848	1785395039
VKMT	wine/build-ec/dlls/cryptbase/aarch64-windows/cryptbase.dll	327680	32768	983040	1785109442
VKMT	wine/build-ec/dlls/d3d12/aarch64-windows/d3d12.dll	458752	32768	1835008	1785109445
VKMT	wine/build-ec/dlls/opengl32/opengl32.so	0	32768	2042184	1785274760
VKMT	wine/build-ec/dlls/win32u/libfreetype.6.dylib	0	32768	620256	1785252497
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/winemac.so	0	32768	640584	1785119215
VKMT	wine/build-ec/dlls/advapi32/aarch64-windows/advapi32.dll	0	16384	2686976	1785109434
VKMT	wine/build-ec/dlls/bcrypt/aarch64-windows/bcrypt.dll	0	16384	3997696	1785109436
VKMT	wine/build-ec/dlls/combase/aarch64-windows/combase.dll	0	16384	3473408	1785109439
VKMT	wine/build-ec/dlls/comctl32/aarch64-windows/comctl32.dll	0	16384	7274496	1785109439
VKMT	wine/build-ec/dlls/coml2/aarch64-windows/coml2.dll	0	16384	1441792	1785109440
VKMT	wine/build-ec/dlls/crypt32/crypt32.so	0	16384	72712	1785307049
VKMT	wine/build-ec/dlls/crypt32/crypt32.so	65536	7176	72712	1785307049
VKMT	wine/build-ec/dlls/crypt32/libgmp.10.dylib	0	16384	434368	1785395039
VKMT	wine/build-ec/dlls/crypt32/libgmp.10.dylib	393216	16384	434368	1785395039
VKMT	wine/build-ec/dlls/crypt32/libgnutls.30.dylib	0	16384	2324784	1785395039
VKMT	wine/build-ec/dlls/crypt32/libhogweed.7.dylib	0	16384	277520	1785395039
VKMT	wine/build-ec/dlls/crypt32/libhogweed.7.dylib	245760	16384	277520	1785395039
VKMT	wine/build-ec/dlls/crypt32/libidn2.0.dylib	0	16384	238896	1785395039
VKMT	wine/build-ec/dlls/crypt32/libidn2.0.dylib	229376	9520	238896	1785395039
VKMT	wine/build-ec/dlls/crypt32/libintl.8.dylib	0	16384	210848	1785395039
VKMT	wine/build-ec/dlls/crypt32/libintl.8.dylib	196608	14240	210848	1785395039
VKMT	wine/build-ec/dlls/crypt32/libnettle.9.dylib	0	16384	314624	1785395039
VKMT	wine/build-ec/dlls/crypt32/libnettle.9.dylib	262144	16384	314624	1785395039
VKMT	wine/build-ec/dlls/crypt32/libp11-kit.0.dylib	1245184	16384	1598752	1785395039
VKMT	wine/build-ec/dlls/crypt32/libtasn1.6.dylib	0	16384	89728	1785395039
VKMT	wine/build-ec/dlls/crypt32/libtasn1.6.dylib	81920	7808	89728	1785395039
VKMT	wine/build-ec/dlls/crypt32/libunistring.5.dylib	0	16384	2005056	1785395039
VKMT	wine/build-ec/dlls/crypt32/libunistring.5.dylib	1933312	16384	2005056	1785395039
VKMT	wine/build-ec/dlls/cryptbase/aarch64-windows/cryptbase.dll	0	16384	983040	1785109442
VKMT	wine/build-ec/dlls/d3d12/aarch64-windows/d3d12.dll	0	16384	1835008	1785109445
VKMT	wine/build-ec/dlls/ntdll/ntdll.so	0	16384	679144	1785584694
VKMT	wine/build-ec/dlls/win32u/libfreetype.6.dylib	540672	16384	620256	1785252497
VKMT	wine/build-ec/dlls/win32u/libpng16.16.dylib	0	16384	190272	1785252497
VKMT	wine/build-ec/dlls/win32u/libpng16.16.dylib	163840	16384	190272	1785252497
VKMT	wine/build-ec/dlls/win32u/win32u.so	2080768	16384	2512904	1785584862
VKMT	wine/build-ec/dlls/ws2_32/ws2_32.so	0	16384	53960	1785305066
VKMT	wine/build-ec/dlls/ws2_32/ws2_32.so	49152	4808	53960	1785305066
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/libunwind.1.dylib	0	16384	91328	1784066211
VKMT	wine/build-ec/dxmt-v0.80/aarch64-unix/libunwind.1.dylib	81920	9408	91328	1784066211
VKMT	wine/build-ec/fonts/vgasys.fon	0	6512	6512	1785108413
VKMT	wine/build-ec/programs/start/aarch64-windows/start.exe	0	16384	1048576	1785109565
VKMT	wine/build-ec/tools/wine/wine	0	16384	35448	1785578846
VKMT	wine/build-ec/tools/wine/wine	32768	2680	35448	1785578846
VKMT	wine/wine-11.12/nls/l_intl.nls	0	5564	5564	1785107532
